Taluka,City_Village,Area_Type,Land_Type,Buyer_Gender,Area_sqft,Rate_per_sqft,Land_Cost,Stamp_Duty_Percent,Stamp_Duty_Amount,Registration_Percent,Registration_Amount,Total_Price,Flood_Risk,Crime_Level,Market_Access,School_Access,Hospital_Access,Growth_Rate,Distance_to_City_Center,Distance_to_Highway
Bhudargad,Kadgaon,Rural,Residential,Male,4500,990,4455000,3,133650,1,30000,4618650,Medium,Low,5,5,5,0.04,28.0,7.0
Gadhinglaj,Nesari,Rural,Residential,Female,5000,930,4650000,2,93000,1,30000,4773000,Low,Low,6,6,6,0.04,50.0,20.0
Ajra,Ajra,Rural,Agricultural,Male,6000,350,2100000,3,63000,1,21000,2184000,Medium,Low,5,5,5,0.04,30.0,8.0
Shirol,Yadrav,Rural,Residential,Female,1500,1440,2160000,2,43200,1,21600,2224800,Medium,Low,5,5,5,0.04,30.0,10.0
Shahuwadi,Amba,Rural,Agricultural,Male,2500,200,500000,3,15000,1,5000,520000,High,Low,4,4,3,0.03,35.0,9.0
Radhanagari,Dajipur,Rural,Agricultural,Female,7000,200,1400000,2,28000,1,14000,1442000,High,Low,4,4,3,0.03,40.0,12.0
Gadhinglaj,Mungurwadi,Rural,Residential,Female,2100,750,1575000,2,31500,1,15750,1622250,Low,Low,5,5,5,0.04,32.0,8.0
Karveer,Rajarampuri,Urban,Residential,Female,1400,6250,8750000,5,437500,1,30000,9217500,Medium,Low,9,9,9,0.12,2.0,10.0
Gaganbawada,Salwan,Rural,Industrial,Female,6000,280,1680000,2,33600,1,16800,1730400,High,Low,4,4,3,0.03,42.0,12.0
Bhudargad,Patgaon,Rural,Agricultural,Male,8000,200,1600000,3,48000,1,16000,1664000,Medium,Low,4,4,4,0.03,32.0,8.0
Gaganbawada,Bhuibawada,Rural,Agricultural,Male,9000,350,3150000,3,94500,1,30000,3274500,Medium,Low,5,5,4,0.04,38.0,11.0
Shirol,Herwad,Rural,Agricultural,Male,8000,570,4560000,3,136800,1,30000,4726800,Medium,Low,5,5,5,0.04,22.0,6.0
Chandgad,Chandgad,Rural,Agricultural,Male,1500,350,525000,3,15750,1,5250,546000,Medium,Low,5,5,5,0.04,35.0,9.0
Kagal,Sangaon,Rural,Agricultural,Female,8000,540,4320000,2,86400,1,30000,4436400,Medium,Low,5,5,5,0.04,25.0,14.0
Bhudargad,Pimpalgoan,Rural,Residential,Male,9000,400,3600000,3,108000,1,30000,3738000,Medium,Low,4,4,4,0.03,30.0,8.0
Radhanagari,Rajapur,Rural,Residential,Female,2900,680,1972000,2,39440,1,19720,2031160,Medium,Low,4,4,4,0.04,37.0,11.0
Ajra,Madilage,Rural,Agricultural,Female,9000,360,3240000,2,64800,1,30000,3334800,Medium,Low,5,5,5,0.04,34.0,9.0
Hatkanangale,Rukadi,Rural,Agricultural,Male,1500,780,1170000,3,35100,1,11700,1216800,Low,Low,5,5,5,0.04,15.0,13.0
Shirol,Jaysingpur,Semi-Urban,Residential,Female,6000,2540,15240000,3,457200,1,30000,15727200,Medium,Low,7,7,7,0.06,35.0,25.0
Hatkanangale,Ichalkaranji,Urban,Residential,Female,1300,3490,4537000,5,226850,1,30000,4793850,Medium,Medium,8,8,7,0.1,25.0,22.0
Gadhinglaj,Harali,Rural,Agricultural,Female,9000,320,2880000,2,57600,1,28800,2966400,Low,Low,4,4,4,0.03,45.0,15.0
Chandgad,Shinoli,Rural,Agricultural,Male,6000,350,2100000,3,63000,1,21000,2184000,Medium,Low,5,5,4,0.04,33.0,9.0
Shirol,Shirol,Semi-Urban,Agricultural,Male,2200,910,2002000,4,80080,1,20020,2102100,High,Medium,7,7,8,0.06,40.0,4.0
Hatkanangale,Peth Vadgoan,Semi-Urban,Residential,Female,2600,1920,4992000,3,149760,1,30000,5171760,Medium,Low,6,6,6,0.07,16.0,14.0
Karveer,Shivaji Peth,Urban,Industrial,Female,3400,5240,17816000,5,890800,1,30000,18736800,High,Low,9,8,9,0.07,1.0,7.0
Hatkanangale,Ichalkaranji,Urban,Residential,Male,3600,3090,11124000,6,667440,1,30000,11821440,Medium,Medium,8,8,7,0.1,25.0,22.0
Chandgad,Tilari,Rural,Agricultural,Male,2900,200,580000,3,17400,1,5800,603200,High,Low,4,4,3,0.03,40.0,10.0
Shahuwadi,Charan,Rural,Residential,Male,5000,790,3950000,3,118500,1,30000,4098500,Medium,Low,5,5,5,0.04,30.0,8.0
Karveer,Shivaji Peth,Urban,Commercial,Male,1400,7640,10696000,6,641760,1,30000,11367760,High,Low,9,8,9,0.07,1.0,7.0
Bhudargad,Kadgaon,Rural,Agricultural,Female,8000,380,3040000,2,60800,1,30000,3130800,Medium,Low,5,5,5,0.04,28.0,7.0
Shirol,Jaysingpur,Semi-Urban,Industrial,Male,5000,2220,11100000,4,444000,1,30000,11574000,Medium,Low,7,7,7,0.06,35.0,25.0
Gaganbawada,Gaganbawada,Rural,Residential,Female,4000,820,3280000,2,65600,1,30000,3375600,High,Low,5,5,4,0.04,36.0,10.0
Chandgad,Tilari,Rural,Residential,Female,6000,370,2220000,2,44400,1,22200,2286600,High,Low,4,4,3,0.03,40.0,10.0
Karveer,Rajarampuri,Urban,Residential,Male,1300,7110,9243000,6,554580,1,30000,9827580,Medium,Low,9,9,9,0.12,2.0,10.0
Radhanagari,Ghotawade,Rural,Residential,Female,5500,380,2090000,2,41800,1,20900,2152700,High,Low,4,4,3,0.03,38.0,12.0
Karveer,Gokul Shirgaon,Semi-Urban,Commercial,Female,2000,2340,4680000,3,140400,1,30000,4850400,Low,Low,7,7,6,0.07,8.0,4.0
Kagal,Murgud,Semi-Urban,Commercial,Female,1700,2060,3502000,3,105060,1,30000,3637060,Low,Low,6,6,5,0.05,39.0,20.0
Kagal,Bidri,Rural,Agricultural,Male,5500,510,2805000,3,84150,1,28050,2917200,Medium,Low,5,5,5,0.03,30.0,18.0
Gadhinglaj,Mahagoan,Rural,Agricultural,Female,2100,370,777000,2,15540,1,7770,800310,Medium,Low,5,5,4,0.04,35.0,10.0
Panhala,Kale,Semi-Urban,Residential,Male,1200,1980,2376000,4,95040,1,23760,2494800,Low,Low,6,6,6,0.05,20.0,5.0
Panhala,Kale,Semi-Urban,Residential,Female,2800,2100,5880000,3,176400,1,30000,6086400,Low,Low,6,6,6,0.05,20.0,5.0
Panhala,Kodoli,Semi-Urban,Agricultural,Female,5500,1030,5665000,3,169950,1,30000,5864950,Low,Medium,7,7,6,0.06,16.0,3.0
Chandgad,Chandgad,Rural,Residential,Female,6000,920,5520000,2,110400,1,30000,5660400,Medium,Low,5,5,5,0.04,35.0,9.0
Radhanagari,Dhamod,Rural,Agricultural,Male,2100,340,714000,3,21420,1,7140,742560,Medium,Low,4,4,4,0.04,36.0,11.0
Gaganbawada,Sakhari,Rural,Commercial,Female,10000,960,9600000,2,192000,1,30000,9822000,High,Low,4,4,4,0.04,40.0,12.0
Chandgad,Kudnur,Rural,Agricultural,Male,2300,360,828000,3,24840,1,8280,861120,Medium,Low,5,5,4,0.04,34.0,9.0
Shirol,Yadrav,Rural,Residential,Male,3500,1470,5145000,3,154350,1,30000,5329350,Medium,Low,5,5,5,0.04,30.0,10.0
Bhudargad,Pimpalgoan,Rural,Agricultural,Male,7000,200,1400000,3,42000,1,14000,1456000,Medium,Low,4,4,4,0.03,30.0,8.0
Shirol,Lat,Rural,Residential,Male,9000,850,7650000,3,229500,1,30000,7909500,High,Low,4,4,4,0.03,38.0,15.0
Hatkanangale,Kabnur,Semi-Urban,Residential,Female,6000,2030,12180000,3,365400,1,30000,12575400,Low,Medium,6,6,6,0.05,17.0,15.0
Radhanagari,Radhanagari,Rural,Residential,Male,2500,980,2450000,3,73500,1,24500,2548000,High,Low,5,5,5,0.04,35.0,9.0
Chandgad,Kowad,Rural,Agricultural,Female,3500,200,700000,2,14000,1,7000,721000,High,Low,4,4,3,0.03,38.0,11.0
Karveer,Shiye,Semi-Urban,Industrial,Male,3000,1850,5550000,4,222000,1,30000,5802000,Low,Low,8,7,7,0.09,5.0,3.0
Hatkanangale,Kabnur,Semi-Urban,Commercial,Male,5000,2320,11600000,4,464000,1,30000,12094000,Low,Medium,6,6,6,0.05,17.0,15.0
Gadhinglaj,Halkarni,Rural,Agricultural,Female,2900,410,1189000,2,23780,1,11890,1224670,Low,Low,6,7,4,0.03,60.0,12.0
Kagal,Kagal,Semi-Urban,Agricultural,Male,4500,1230,5535000,4,221400,1,30000,5786400,Low,Low,8,8,7,0.01,22.0,5.0
Shahuwadi,Malkapur,Semi-Urban,Residential,Female,3200,2010,6432000,3,192960,1,30000,6654960,Low,Medium,7,6,6,0.05,20.0,5.0
Shahuwadi,Charan,Rural,Industrial,Male,2100,760,1596000,3,47880,1,15960,1659840,Medium,Low,5,5,5,0.04,30.0,8.0
Chandgad,Kowad,Rural,Residential,Male,10000,430,4300000,3,129000,1,30000,4459000,High,Low,4,4,3,0.03,38.0,11.0
Gaganbawada,Salwan,Rural,Agricultural,Male,9000,200,1800000,3,54000,1,18000,1872000,High,Low,4,4,3,0.03,42.0,12.0
Chandgad,Kowad,Rural,Agricultural,Male,5500,200,1100000,3,33000,1,11000,1144000,High,Low,4,4,3,0.03,38.0,11.0
Bhudargad,Gargoti,Semi-Urban,Residential,Female,1300,1890,2457000,3,73710,1,24570,2555280,Low,Medium,6,6,6,0.05,22.0,6.0
Karveer,Shiye,Semi-Urban,Agricultural,Female,2200,910,2002000,3,60060,1,20020,2082080,Low,Low,8,7,7,0.09,5.0,3.0
Shahuwadi,Bambavade,Rural,Agricultural,Female,2100,400,840000,2,16800,1,8400,865200,Medium,Low,5,5,5,0.04,28.0,7.0
Gadhinglaj,Nesari,Rural,Agricultural,Female,5000,420,2100000,2,42000,1,21000,2163000,Low,Low,6,6,6,0.04,50.0,20.0
Chandgad,Tilari,Rural,Residential,Male,9000,330,2970000,3,89100,1,29700,3088800,High,Low,4,4,3,0.03,40.0,10.0
Hatkanangale,Talsande,Semi-Urban,Industrial,Female,3400,1880,6392000,3,191760,1,30000,6613760,Low,Low,6,6,6,0.07,18.0,16.0
Radhanagari,Tarale,Rural,Residential,Female,1500,830,1245000,2,24900,1,12450,1282350,Medium,Low,5,5,4,0.04,33.0,10.0
Radhanagari,Ghotawade,Rural,Agricultural,Male,1900,200,380000,3,11400,1,3800,395200,High,Low,4,4,3,0.03,38.0,12.0
Gaganbawada,Gaganbawada,Rural,Residential,Male,8000,830,6640000,3,199200,1,30000,6869200,High,Low,5,5,4,0.04,36.0,10.0
Bhudargad,Waghapur,Rural,Commercial,Male,6000,1020,6120000,3,183600,1,30000,6333600,Medium,Low,4,4,4,0.04,29.0,7.0
Kagal,Siddhanerli,Rural,Agricultural,Male,5500,440,2420000,3,72600,1,24200,2516800,Low,Low,5,5,5,0.06,26.0,13.0
Panhala,Panhala,Semi-Urban,Commercial,Male,3800,3100,11780000,4,471200,1,30000,12281200,Low,Medium,7,7,6,0.06,18.0,4.0
Shirol,Nrusinhawadi,Rural,Residential,Male,2900,1640,4756000,3,142680,1,30000,4928680,High,Low,5,5,4,0.04,40.0,17.0
Chandgad,Kowad,Rural,Agricultural,Male,2700,200,540000,3,16200,1,5400,561600,High,Low,4,4,3,0.03,38.0,11.0
Bhudargad,Patgaon,Rural,Residential,Male,6000,450,2700000,3,81000,1,27000,2808000,Medium,Low,4,4,4,0.03,32.0,8.0
Kagal,Kagal,Semi-Urban,Residential,Female,1300,2560,3328000,3,99840,1,30000,3457840,Low,Low,8,8,7,0.01,22.0,5.0
Kagal,Kapashi,Rural,Residential,Female,2300,1120,2576000,2,51520,1,25760,2653280,Medium,Low,5,5,5,0.04,28.0,12.0
Shahuwadi,Sarud,Rural,Commercial,Male,6000,470,2820000,3,84600,1,28200,2932800,High,Low,4,4,3,0.03,33.0,9.0
Shirol,Herwad,Rural,Agricultural,Female,5000,680,3400000,2,68000,1,30000,3498000,Medium,Low,5,5,5,0.04,22.0,6.0
Chandgad,Shinoli,Rural,Commercial,Male,8000,1060,8480000,3,254400,1,30000,8764400,Medium,Low,5,5,4,0.04,33.0,9.0
Karveer,Nagala Park,Urban,Residential,Male,3400,6190,21046000,6,1262760,1,30000,22338760,Medium,Low,9,9,9,0.12,2.2,8.0
Panhala,Kale,Semi-Urban,Industrial,Female,3400,1620,5508000,3,165240,1,30000,5703240,Low,Low,6,6,6,0.05,20.0,5.0
Hatkanangale,Vathar,Semi-Urban,Industrial,Female,5000,1600,8000000,3,240000,1,30000,8270000,Low,Low,5,5,5,0.06,19.0,17.0
Gadhinglaj,Mahagoan,Rural,Agricultural,Female,8000,340,2720000,2,54400,1,27200,2801600,Medium,Low,5,5,4,0.04,35.0,10.0
Hatkanangale,Alas,Rural,Agricultural,Male,1500,390,585000,3,17550,1,5850,608400,High,Low,4,4,4,0.03,25.0,22.0
Kagal,Siddhanerli,Rural,Agricultural,Female,8000,430,3440000,2,68800,1,30000,3538800,Low,Low,5,5,5,0.06,26.0,13.0
Shirol,Lat,Rural,Residential,Female,10000,860,8600000,2,172000,1,30000,8802000,High,Low,4,4,4,0.03,38.0,15.0
Hatkanangale,Kabnur,Semi-Urban,Residential,Male,1100,1910,2101000,4,84040,1,21010,2206050,Low,Medium,6,6,6,0.05,17.0,15.0
Hatkanangale,Talsande,Semi-Urban,Residential,Male,2400,2250,5400000,4,216000,1,30000,5646000,Low,Low,6,6,6,0.07,18.0,16.0
Kagal,Sangaon,Rural,Residential,Male,2300,1160,2668000,3,80040,1,26680,2774720,Medium,Low,5,5,5,0.04,25.0,14.0
Kagal,Kapashi,Rural,Residential,Male,5500,1020,5610000,3,168300,1,30000,5808300,Medium,Low,5,5,5,0.04,28.0,12.0
Hatkanangale,Kabnur,Semi-Urban,Commercial,Female,4500,2780,12510000,3,375300,1,30000,12915300,Low,Medium,6,6,6,0.05,17.0,15.0
Hatkanangale,Peth Vadgoan,Semi-Urban,Commercial,Male,1100,2710,2981000,4,119240,1,29810,3130050,Medium,Low,6,6,6,0.07,16.0,14.0
Gaganbawada,Sakhari,Rural,Agricultural,Male,6000,310,1860000,3,55800,1,18600,1934400,High,Low,4,4,4,0.04,40.0,12.0
Chandgad,Shinoli,Rural,Residential,Female,2100,880,1848000,2,36960,1,18480,1903440,Medium,Low,5,5,4,0.04,33.0,9.0
Kagal,Kagal,Semi-Urban,Residential,Female,3600,2940,10584000,3,317520,1,30000,10931520,Low,Low,8,8,7,0.01,22.0,5.0
Ajra,Ningudage,Rural,Agricultural,Male,8000,200,1600000,3,48000,1,16000,1664000,High,Low,4,4,4,0.03,36.0,10.0
Kagal,Sangaon,Rural,Residential,Female,1900,1250,2375000,2,47500,1,23750,2446250,Medium,Low,5,5,5,0.04,25.0,14.0
Shahuwadi,Malkapur,Semi-Urban,Residential,Male,5000,2360,11800000,4,472000,1,30000,12302000,Low,Medium,7,6,6,0.05,20.0,5.0
Karveer,Shivaji Peth,Urban,Residential,Female,1200,6360,7632000,5,381600,1,30000,8043600,High,Low,9,8,9,0.07,1.0,7.0
Shirol,Jaysingpur,Semi-Urban,Residential,Female,1000,2680,2680000,3,80400,1,26800,2787200,Medium,Low,7,7,7,0.06,35.0,25.0
Panhala,Warnanagar,Semi-Urban,Commercial,Male,5500,3260,17930000,4,717200,1,30000,18677200,Low,Medium,8,7,7,0.06,15.0,2.0
Ajra,Zulapewadi,Rural,Commercial,Female,6000,470,2820000,2,56400,1,28200,2904600,High,Low,4,4,3,0.03,37.0,11.0
Kagal,Kapashi,Rural,Industrial,Male,2500,860,2150000,3,64500,1,21500,2236000,Medium,Low,5,5,5,0.04,28.0,12.0
Ajra,Ajra,Rural,Residential,Female,4000,930,3720000,2,74400,1,30000,3824400,Medium,Low,5,5,5,0.04,30.0,8.0
Shirol,Shirol,Semi-Urban,Residential,Female,1500,1890,2835000,3,85050,1,28350,2948400,High,Medium,7,7,8,0.06,40.0,4.0
Karveer,Shivaji Peth,Urban,Residential,Male,4200,6050,25410000,6,1524600,1,30000,26964600,High,Low,9,8,9,0.07,1.0,7.0
Hatkanangale,Rukadi,Rural,Agricultural,Female,4500,680,3060000,2,61200,1,30000,3151200,Low,Low,5,5,5,0.04,15.0,13.0
Panhala,Warnanagar,Semi-Urban,Industrial,Female,1800,2500,4500000,3,135000,1,30000,4665000,Low,Medium,8,7,7,0.06,15.0,2.0
Panhala,Kodoli,Semi-Urban,Agricultural,Male,2000,1050,2100000,4,84000,1,21000,2205000,Low,Medium,7,7,6,0.06,16.0,3.0
Shahuwadi,Charan,Rural,Commercial,Female,2300,1090,2507000,2,50140,1,25070,2582210,Medium,Low,5,5,5,0.04,30.0,8.0
Hatkanangale,Peth Vadgoan,Semi-Urban,Commercial,Male,3800,2660,10108000,4,404320,1,30000,10542320,Medium,Low,6,6,6,0.07,16.0,14.0
Karveer,Kalamba,Semi-Urban,Residential,Male,3000,2560,7680000,4,307200,1,30000,8017200,Low,Low,8,8,8,0.11,3.5,4.0
Karveer,Shiroli,Semi-Urban,Residential,Female,5500,2920,16060000,3,481800,1,30000,16571800,High,Medium,8,6,6,0.09,10.0,2.0
Karveer,Tarabai Park,Urban,Residential,Female,800,6740,5392000,5,269600,1,30000,5691600,Medium,Low,10,9,10,0.13,1.5,10.0
Shirol,Herwad,Rural,Agricultural,Male,5500,650,3575000,3,107250,1,30000,3712250,Medium,Low,5,5,5,0.04,22.0,6.0
Shirol,Yadrav,Rural,Agricultural,Female,8000,610,4880000,2,97600,1,30000,5007600,Medium,Low,5,5,5,0.04,30.0,10.0
Shirol,Kurundwad,Semi-Urban,Residential,Male,4000,1760,7040000,4,281600,1,30000,7351600,High,Low,7,7,6,0.06,35.0,33.0
Kagal,Siddhanerli,Rural,Agricultural,Male,2900,440,1276000,3,38280,1,12760,1327040,Low,Low,5,5,5,0.06,26.0,13.0
Kagal,Sangaon,Rural,Commercial,Female,9000,1410,12690000,2,253800,1,30000,12973800,Medium,Low,5,5,5,0.04,25.0,14.0
Karveer,Rajarampuri,Urban,Residential,Female,800,6050,4840000,5,242000,1,30000,5112000,Medium,Low,9,9,9,0.12,2.0,10.0
Chandgad,Chandgad,Rural,Residential,Male,4500,910,4095000,3,122850,1,30000,4247850,Medium,Low,5,5,5,0.04,35.0,9.0
Radhanagari,Radhanagari,Rural,Residential,Male,9000,1070,9630000,3,288900,1,30000,9948900,High,Low,5,5,5,0.04,35.0,9.0
Shahuwadi,Bambavade,Rural,Residential,Female,1900,880,1672000,2,33440,1,16720,1722160,Medium,Low,5,5,5,0.04,28.0,7.0
Radhanagari,Rajapur,Rural,Residential,Male,1900,680,1292000,3,38760,1,12920,1343680,Medium,Low,4,4,4,0.04,37.0,11.0
Kagal,Murgud,Semi-Urban,Industrial,Male,3200,1500,4800000,4,192000,1,30000,5022000,Low,Low,6,6,5,0.05,39.0,20.0
Shirol,Shirol,Semi-Urban,Residential,Male,5000,1940,9700000,4,388000,1,30000,10118000,High,Medium,7,7,8,0.06,40.0,4.0
Hatkanangale,Alas,Rural,Residential,Male,3000,950,2850000,3,85500,1,28500,2964000,High,Low,4,4,4,0.03,25.0,22.0
Chandgad,Kudnur,Rural,Residential,Male,3500,930,3255000,3,97650,1,30000,3382650,Medium,Low,5,5,4,0.04,34.0,9.0
Radhanagari,Dajipur,Rural,Commercial,Female,2700,390,1053000,2,21060,1,10530,1084590,High,Low,4,4,3,0.03,40.0,12.0
Gaganbawada,Bhuibawada,Rural,Agricultural,Male,6000,320,1920000,3,57600,1,19200,1996800,Medium,Low,5,5,4,0.04,38.0,11.0
Radhanagari,Tarale,Rural,Agricultural,Male,3000,330,990000,3,29700,1,9900,1029600,Medium,Low,5,5,4,0.04,33.0,10.0
Bhudargad,Admapur,Rural,Residential,Male,9000,880,7920000,3,237600,1,30000,8187600,Low,Low,5,5,5,0.04,26.0,6.0
Kagal,Sangaon,Rural,Agricultural,Female,1700,540,918000,2,18360,1,9180,945540,Medium,Low,5,5,5,0.04,25.0,14.0
Hatkanangale,Vathar,Semi-Urban,Agricultural,Female,6000,860,5160000,3,154800,1,30000,5344800,Low,Low,5,5,5,0.06,19.0,17.0
Karveer,Tarabai Park,Urban,Residential,Female,1700,7660,13022000,5,651100,1,30000,13703100,Medium,Low,10,9,10,0.13,1.5,10.0
Shirol,Yadrav,Rural,Residential,Male,6000,1510,9060000,3,271800,1,30000,9361800,Medium,Low,5,5,5,0.04,30.0,10.0
Ajra,Zulapewadi,Rural,Agricultural,Female,2100,200,420000,2,8400,1,4200,432600,High,Low,4,4,3,0.03,37.0,11.0
Ajra,Ajra,Rural,Residential,Male,4000,950,3800000,3,114000,1,30000,3944000,Medium,Low,5,5,5,0.04,30.0,8.0
Shirol,Shirol,Semi-Urban,Commercial,Male,2600,2390,6214000,4,248560,1,30000,6492560,High,Medium,7,7,8,0.06,40.0,4.0
Kagal,Kapashi,Rural,Agricultural,Male,10000,470,4700000,3,141000,1,30000,4871000,Medium,Low,5,5,5,0.04,28.0,12.0
Kagal,Bidri,Rural,Residential,Female,4500,1280,5760000,2,115200,1,30000,5905200,Medium,Low,5,5,5,0.03,30.0,18.0
Radhanagari,Rajapur,Rural,Residential,Female,1500,750,1125000,2,22500,1,11250,1158750,Medium,Low,4,4,4,0.04,37.0,11.0
Ajra,Madilage,Rural,Agricultural,Female,10000,370,3700000,2,74000,1,30000,3804000,Medium,Low,5,5,5,0.04,34.0,9.0
Shirol,Herwad,Rural,Residential,Male,2900,1630,4727000,3,141810,1,30000,4898810,Medium,Low,5,5,5,0.04,22.0,6.0
Karveer,Kalamba,Semi-Urban,Commercial,Male,5000,3770,18850000,4,754000,1,30000,19634000,Low,Low,8,8,8,0.11,3.5,4.0
Gaganbawada,Gaganbawada,Rural,Agricultural,Male,2500,380,950000,3,28500,1,9500,988000,High,Low,5,5,4,0.04,36.0,10.0
Radhanagari,Tarale,Rural,Residential,Female,2300,770,1771000,2,35420,1,17710,1824130,Medium,Low,5,5,4,0.04,33.0,10.0
Karveer,Rajarampuri,Urban,Commercial,Male,2300,7970,18331000,6,1099860,1,30000,19460860,Medium,Low,9,9,9,0.12,2.0,10.0
Hatkanangale,Alas,Rural,Residential,Female,2700,1090,2943000,2,58860,1,29430,3031290,High,Low,4,4,4,0.03,25.0,22.0
Karveer,Rajarampuri,Urban,Residential,Male,900,6900,6210000,6,372600,1,30000,6612600,Medium,Low,9,9,9,0.12,2.0,10.0
Shahuwadi,Malkapur,Semi-Urban,Residential,Male,1500,2000,3000000,4,120000,1,30000,3150000,Low,Medium,7,6,6,0.05,20.0,5.0
Hatkanangale,Talsande,Semi-Urban,Industrial,Female,2000,2000,4000000,3,120000,1,30000,4150000,Low,Low,6,6,6,0.07,18.0,16.0
Radhanagari,Ghotawade,Rural,Agricultural,Male,1900,200,380000,3,11400,1,3800,395200,High,Low,4,4,3,0.03,38.0,12.0
Shirol,Nrusinhawadi,Rural,Residential,Female,10000,1930,19300000,2,386000,1,30000,19716000,High,Low,5,5,4,0.04,40.0,17.0
Ajra,Uttur,Rural,Commercial,Male,1700,1070,1819000,3,54570,1,18190,1891760,Medium,Low,5,5,5,0.04,32.0,9.0
Ajra,Madilage,Rural,Commercial,Female,2100,940,1974000,2,39480,1,19740,2033220,Medium,Low,5,5,5,0.04,34.0,9.0
Hatkanangale,Talsande,Semi-Urban,Residential,Male,4000,2090,8360000,4,334400,1,30000,8724400,Low,Low,6,6,6,0.07,18.0,16.0
Chandgad,Kudnur,Rural,Residential,Male,7000,780,5460000,3,163800,1,30000,5653800,Medium,Low,5,5,4,0.04,34.0,9.0
Shahuwadi,Charan,Rural,Agricultural,Male,2100,310,651000,3,19530,1,6510,677040,Medium,Low,5,5,5,0.04,30.0,8.0
Karveer,Shiroli,Semi-Urban,Residential,Male,2400,3260,7824000,4,312960,1,30000,8166960,High,Medium,8,6,6,0.09,10.0,2.0
Shirol,Kurundwad,Semi-Urban,Commercial,Female,1600,2160,3456000,3,103680,1,30000,3589680,High,Low,7,7,6,0.06,35.0,33.0
Gadhinglaj,Basarge,Rural,Residential,Male,6000,910,5460000,3,163800,1,30000,5653800,Medium,Low,5,5,5,0.04,30.0,7.0
Gaganbawada,Gaganbawada,Rural,Agricultural,Male,5000,350,1750000,3,52500,1,17500,1820000,High,Low,5,5,4,0.04,36.0,10.0
Karveer,Nagala Park,Urban,Commercial,Female,2500,8710,21775000,5,1088750,1,30000,22893750,Medium,Low,9,9,9,0.12,2.2,8.0
Chandgad,Kudnur,Rural,Agricultural,Female,4000,390,1560000,2,31200,1,15600,1606800,Medium,Low,5,5,4,0.04,34.0,9.0
Hatkanangale,Peth Vadgoan,Semi-Urban,Commercial,Male,4000,2620,10480000,4,419200,1,30000,10929200,Medium,Low,6,6,6,0.07,16.0,14.0
Shahuwadi,Bambavade,Rural,Agricultural,Female,9000,390,3510000,2,70200,1,30000,3610200,Medium,Low,5,5,5,0.04,28.0,7.0
Gadhinglaj,Halkarni,Rural,Agricultural,Female,4000,370,1480000,2,29600,1,14800,1524400,Low,Low,6,7,4,0.03,60.0,12.0
Hatkanangale,Vathar,Semi-Urban,Commercial,Male,4500,2360,10620000,4,424800,1,30000,11074800,Low,Low,5,5,5,0.06,19.0,17.0
Shahuwadi,Charan,Rural,Residential,Male,5500,750,4125000,3,123750,1,30000,4278750,Medium,Low,5,5,5,0.04,30.0,8.0
Chandgad,Here,Rural,Agricultural,Female,1500,300,450000,2,9000,1,4500,463500,Medium,Low,4,4,4,0.04,36.0,10.0
Ajra,Ajra,Rural,Agricultural,Female,10000,360,3600000,2,72000,1,30000,3702000,Medium,Low,5,5,5,0.04,30.0,8.0
Bhudargad,Gargoti,Semi-Urban,Residential,Male,3000,1900,5700000,4,228000,1,30000,5958000,Low,Medium,6,6,6,0.05,22.0,6.0
Karveer,Nagala Park,Urban,Residential,Male,2600,6650,17290000,6,1037400,1,30000,18357400,Medium,Low,9,9,9,0.12,2.2,8.0
Shahuwadi,Sarud,Rural,Commercial,Male,1700,450,765000,3,22950,1,7650,795600,High,Low,4,4,3,0.03,33.0,9.0
Ajra,Dewarde,Rural,Agricultural,Female,2700,320,864000,2,17280,1,8640,889920,Medium,Low,4,4,4,0.04,35.0,10.0
Shirol,Herwad,Rural,Residential,Female,1900,1450,2755000,2,55100,1,27550,2837650,Medium,Low,5,5,5,0.04,22.0,6.0
Shahuwadi,Sarud,Rural,Residential,Female,1500,390,585000,2,11700,1,5850,602550,High,Low,4,4,3,0.03,33.0,9.0
Karveer,Gandhinagar,Urban,Commercial,Female,1400,2940,4116000,5,205800,1,30000,4351800,Low,Low,8,8,8,0.08,3.0,6.0
Kagal,Sangaon,Rural,Agricultural,Male,2900,510,1479000,3,44370,1,14790,1538160,Medium,Low,5,5,5,0.04,25.0,14.0
Shirol,Herwad,Rural,Agricultural,Female,3500,600,2100000,2,42000,1,21000,2163000,Medium,Low,5,5,5,0.04,22.0,6.0
Hatkanangale,Alas,Rural,Agricultural,Male,10000,420,4200000,3,126000,1,30000,4356000,High,Low,4,4,4,0.03,25.0,22.0
Hatkanangale,Peth Vadgoan,Semi-Urban,Commercial,Female,3000,2530,7590000,3,227700,1,30000,7847700,Medium,Low,6,6,6,0.07,16.0,14.0
Karveer,Gandhinagar,Urban,Residential,Female,2700,2420,6534000,5,326700,1,30000,6890700,Low,Low,8,8,8,0.08,3.0,6.0
Karveer,Gokul Shirgaon,Semi-Urban,Residential,Male,1400,1810,2534000,4,101360,1,25340,2660700,Low,Low,7,7,6,0.07,8.0,4.0
Gaganbawada,Gaganbawada,Rural,Agricultural,Female,6000,350,2100000,2,42000,1,21000,2163000,High,Low,5,5,4,0.04,36.0,10.0
Panhala,Kale,Semi-Urban,Residential,Male,1900,1990,3781000,4,151240,1,30000,3962240,Low,Low,6,6,6,0.05,20.0,5.0
